Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","22u","C_0603_1608Metric",4.500000,10.100000,90.000000,bottom
"C2","0.22u","C_0402_1005Metric",6.920000,8.450000,0.000000,bottom
"C3","4.7u","C_0402_1005Metric",4.710000,8.080000,180.000000,bottom
"C4","0.22u","C_0402_1005Metric",4.710000,7.130000,180.000000,bottom
"C5","0.22u","C_0402_1005Metric",7.030000,4.250000,0.000000,bottom
"C6","33u","C_1210_3225Metric",9.400000,15.740000,180.000000,bottom
"C7","1u","C_0402_1005Metric",20.290000,7.510000,0.000000,bottom
"C8","0.22u","C_0402_1005Metric",20.290000,6.570000,0.000000,bottom
"C9","4.7u","C_0402_1005Metric",15.630000,4.710000,270.000000,bottom
"C10","0.22u","C_0402_1005Metric",16.570000,4.710000,270.000000,bottom
"C11","0.22u","C_0402_1005Metric",10.060000,6.380000,180.000000,bottom
"C12","1u","C_0402_1005Metric",9.370000,4.710000,270.000000,bottom
"C13","0.22u","C_0402_1005Metric",8.430000,4.710000,270.000000,bottom
"C14","22u","C_0603_1608Metric",19.740000,18.170000,0.000000,bottom
"C15","0.22u","C_0402_1005Metric",6.200000,10.890000,180.000000,bottom
"C16","0.22u","C_0402_1005Metric",8.330000,7.990000,90.000000,bottom
"C17","0.22u","C_0402_1005Metric",20.290000,16.970000,0.000000,bottom
"C18","0.22u","C_0402_1005Metric",15.900000,18.100000,180.000000,bottom
"C19","0.22u","C_0402_1005Metric",10.510000,17.790000,180.000000,bottom
"C20","4.7u","C_0402_1005Metric",17.970000,4.250000,180.000000,bottom
"C21","0.22u","C_0402_1005Metric",17.970000,5.190000,180.000000,bottom
"C22","4.7u","C_0402_1005Metric",14.230000,4.250000,180.000000,bottom
"C23","0.22u","C_0402_1005Metric",14.230000,5.190000,180.000000,bottom
"C24","4.7u","C_0402_1005Metric",10.770000,4.250000,180.000000,bottom
"C25","0.22u","C_0402_1005Metric",10.770000,5.190000,180.000000,bottom
"C26","4.7p","C_0402_1005Metric",12.470000,8.000000,180.000000,bottom
"C27","4.7p","C_0402_1005Metric",17.480000,8.820000,0.000000,bottom
"C28","4.7u","C_0402_1005Metric",9.920000,19.450000,0.000000,bottom
"C29","4.7u","C_0402_1005Metric",19.340000,8.820000,180.000000,bottom
"C30","4.7u","C_0402_1005Metric",17.190000,16.340000,270.000000,bottom
"C31","4.7u","C_0402_1005Metric",17.970000,20.750000,0.000000,bottom
"C32","0.22u","C_0402_1005Metric",5.190000,15.830000,270.000000,bottom
"C33","0.22u","C_0402_1005Metric",9.920000,20.750000,0.000000,bottom
"C34","0.22u","C_0402_1005Metric",18.460000,9.760000,180.000000,bottom
"C35","0.22u","C_0402_1005Metric",17.970000,19.810000,0.000000,bottom
"C36","0.22u","C_0402_1005Metric",18.130000,16.340000,270.000000,bottom
"C37","7p","C_0402_1005Metric",13.130000,10.850000,0.000000,bottom
"C38","7p","C_0402_1005Metric",16.520000,11.660000,270.000000,bottom
"D1","LED_ALT","LED_0805_2012Metric",8.710000,0.910000,0.000000,bottom
"L1","4.7u","L_Taiyo-Yuden_MD-4040",9.400000,11.900000,0.000000,bottom
"R1","30k","R_0402_1005Metric",7.030000,5.200000,180.000000,bottom
"R2","10k","R_0402_1005Metric",4.710000,17.230000,0.000000,bottom
"R3","1k","R_0402_1005Metric",4.250000,15.830000,270.000000,bottom
"R4","30k","R_0402_1005Metric",8.520000,20.290000,270.000000,bottom
"R5","2.2M","R_0402_1005Metric",12.470000,8.940000,180.000000,bottom
"R6","1M","R_0402_1005Metric",15.380000,10.230000,180.000000,bottom
"R7","1k","R_0402_1005Metric",9.370000,2.850000,270.000000,bottom
"U2","TPS3839DBZ","SOT-23",13.430000,15.670000,90.000000,bottom
